lat_dms,lon_dms
"N41°20'24.20","E2°7'5.651"
"N41°21'39.97","E2°5'51.90"
"N41°22'54.97","E2°5'8.231"
"N41°23'42.30","E2°5'37.34"
"N41°24'3.411","E2°6'33.62"
"N41°23'42.30","E2°7'30.88"
"N41°23'27.01","E2°7'56.11"
"N41°23'44.48","E2°8'25.22"
"N41°23'59.04","E2°9'5.011"
"N41°23'59.77","E2°9'44.79"
"N41°23'26.28","E2°10'13.91"
"N41°22'44.78","E2°10'17.79"
"N41°22'4.004","E2°9'53.53"
"N41°21'10.83","E2°9'5.011"
"N41°20'42.42","E2°8'44.63"
"N41°20'13.28","E2°8'16.49"
"N41°20'3.079","E2°7'48.34"
"N41°21'38.51","E2°9'31.21"
"N41°20'50.43","E2°6'40.42"
"N41°22'4.732","E2°5'36.37"
"N41°23'21.18","E2°5'23.75"
"N41°21'13.74","E2°6'18.10"
"N41°22'28.03","E2°5'20.84"
"N41°23'57.58","E2°6'2.574"
"N41°23'53.22","E2°7'4.680"
"N41°22'24.39","E2°10'8.087"
